sid,name,manufacturer,game_type,denomination,volatility_text,volatility_score,location,map_url,source_url,casino,scraped_at
979,Luckymon Evolution All That Glitter,Light & Wonder,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=979,https://www.coushattacasinoresort.com/slot-map.php?sid=979,Coushatta Casino Resort,2026-08-27T20:35:33.551793+00:00
980,Luckymon Evolution Silver Platter,Light & Wonder,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=980,https://www.coushattacasinoresort.com/slot-map.php?sid=980,Coushatta Casino Resort,2026-08-27T20:35:33.705887+00:00
1241,Magic Wheel 7'S,Ainsworth,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1241,https://www.coushattacasinoresort.com/slot-map.php?sid=1241,Coushatta Casino Resort,2026-08-27T20:35:37.569288+00:00
1680,Magiic Treasures Gold Emperor Md Pr,IGT,Video,$0.01,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1680,https://www.coushattacasinoresort.com/slot-map.php?sid=1680,Coushatta Casino Resort,2026-08-27T20:35:45.050543+00:00
1681,Magiic Treasures Gold Empress Md Pr,IGT,Video,$0.01,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1681,https://www.coushattacasinoresort.com/slot-map.php?sid=1681,Coushatta Casino Resort,2026-08-27T20:35:45.108593+00:00
988,Magnificent Phoenix (Mc) (Md) (Pr),IGT,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=988,https://www.coushattacasinoresort.com/slot-map.php?sid=988,Coushatta Casino Resort,2026-08-27T20:35:33.766771+00:00
1843,Maid Of Money,IGT,Video,$0.01,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=1843,https://www.coushattacasinoresort.com/slot-map.php?sid=1843,Coushatta Casino Resort,2026-08-27T20:35:48.492142+00:00
708,Mariachi Bonita Ultimate Fast Cash,Aristocrat,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=708,https://www.coushattacasinoresort.com/slot-map.php?sid=708,Coushatta Casino Resort,2026-08-27T20:35:28.562753+00:00
1379,Mariachi Party (Prog),AGS,Video,$0.01,Medium - High,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1379,https://www.coushattacasinoresort.com/slot-map.php?sid=1379,Coushatta Casino Resort,2026-08-27T20:35:40.540452+00:00
920,Master Da Dang Jia-Fine Fortune (P),Light & Wonder,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=920,https://www.coushattacasinoresort.com/slot-map.php?sid=920,Coushatta Casino Resort,2026-08-27T20:35:32.576863+00:00
921,Master Da Dang Jia-Vivid Diamonds P,Light & Wonder,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=921,https://www.coushattacasinoresort.com/slot-map.php?sid=921,Coushatta Casino Resort,2026-08-27T20:35:32.603724+00:00
1040,Mcw:Electriic Spin Spr Blz 777 Wap,Light & Wonder,Reel,$1.00,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1040,https://www.coushattacasinoresort.com/slot-map.php?sid=1040,Coushatta Casino Resort,2026-08-27T20:35:34.627213+00:00
422,Mega Bucks: Mega Vault Wap,IGT,Video,$0.01,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=422,https://www.coushattacasinoresort.com/slot-map.php?sid=422,Coushatta Casino Resort,2026-08-27T20:35:22.907296+00:00
1161,Mega Diamond (Md) (Prog),AGS,Reel,$0.25,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1161,https://www.coushattacasinoresort.com/slot-map.php?sid=1161,Coushatta Casino Resort,2026-08-27T20:35:36.343602+00:00
756,Mega Money Catch (Md)(Prog),Incredible Technologies,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=756,https://www.coushattacasinoresort.com/slot-map.php?sid=756,Coushatta Casino Resort,2026-08-27T20:35:29.439447+00:00
757,Mega Money Catch (Md)(Prog),Incredible Technologies,Video,$0.02,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=757,https://www.coushattacasinoresort.com/slot-map.php?sid=757,Coushatta Casino Resort,2026-08-27T20:35:29.443360+00:00
